BrandName,Deatils,Sizes,Womens_Category,MRP_,Discount_percent,SellPrice_
rare,solid polyester blend sweetheart neck womens bodycon dress - green,"Size:Large,Medium,X-Large",Westernwear,2399.0,55.0,1079.0
and,floral polyester v neck womens straight top - powder blue,"Size:8,10,12,14,16,18",Westernwear,2008.5116138398257,30.0,2099.0
zink london,textured polyester boat neck womens dress - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2699.0,40.0,1619.0
latin quarters,solid polyester womens regular dress - purple,"Size:S,M,L,XL",Westernwear,2399.0,50.0,1199.0
zink london,solid regular fit cotton womens trousers - grey,"Size:Small,X-Large",Westernwear,1899.0,40.0,1139.0
sera,womens regular fit solid tie up neck peplum top - red,"Size:Large,Small,X-Large",Westernwear,1198.0,70.0,359.0
rare,solid comfort fit polyester womens casual wear trousers - brown,"Size:Large,Medium,Small,X-Large",Westernwear,1899.0,55.0,854.0
life,printed round neck polyester womens regular top - black,"Size:Large,Medium,Small,X-Large,X-Small",Westernwear,1199.0,50.0,599.0
madame,floral print polyster womens dress - royal blue,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2699.0,40.0,1619.0
fratini,sanya malhotra  stripes v neck viscose moss womens dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",Westernwear,2008.5116138398257,50.0,1899.0
and,solid cotton collar neck womens top - rose,"Size:8,10,12,14,18",Westernwear,1799.0,50.0,899.0
fratini,printed viscose v-neck womens regular top - black,"Size:Large,Medium,Small,XX-Large",Westernwear,899.0,50.0,449.0
adidas,striped regular fit blended womens sports tights - black,Size:X-Small,Westernwear,1799.0,50.0,899.0
rare,checks cold shoulder polyester womens calf length jumpsuits - black,"Size:Large,Medium,Small,X-Large",Westernwear,2099.0,60.0,839.0
zink london,floral viscose v neck womens dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Westernwear,2799.0,40.0,1679.0
life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",Westernwear,1699.0,50.0,849.0
